cve_municipio,cve_region,nombre_municipio
001,6,ABEJONES
002,5,ACATLÁN DE PÉREZ FIGUEROA
003,6,ASUNCIÓN CACALOTEPEC
004,4,ASUNCIÓN CUYOTEPEJI
005,3,ASUNCIÓN IXTALTEPEC
006,4,ASUNCIÓN NOCHIXTLÁN
007,8,ASUNCIÓN OCOTLÁN
008,7,ASUNCIÓN TLACOLULITA
009,5,AYOTZINTEPEC
010,3,EL BARRIO DE LA SOLEDAD
011,4,CALIHUALÁ
012,2,CANDELARIA LOXICHA
013,8,CIÉNEGA DE ZIMATLÁN
014,3,CIUDAD IXTEPEC
015,8,COATECAS ALTAS
016,4,COICOYÁN DE LAS FLORES
017,8,LA COMPAÑÍA
018,4,CONCEPCIÓN BUENAVISTA
019,1,CONCEPCIÓN PÁPALO
020,7,CONSTANCIA DEL ROSARIO
021,5,COSOLAPA
022,4,COSOLTEPEC
023,8,CUILÁPAM DE GUERRERO
024,1,CUYAMECALCO VILLA DE ZARAGOZA
025,3,CHAHUITES
026,4,CHALCATONGO DE HIDALGO
027,1,CHIQUIHUITLÁN DE BENITO JUÁREZ
028,8,HEROICA CIUDAD DE EJUTLA DE CRESPO
029,1,ELOXOCHITLÁN DE FLORES MAGÓN
030,3,EL ESPINAL
031,6,TAMAZULÁPAM DEL ESPÍRITU SANTO
032,4,FRESNILLO DE TRUJANO
033,8,GUADALUPE ETLA
034,4,GUADALUPE DE RAMÍREZ
035,6,GUELATAO DE JUÁREZ
036,3,GUEVEA DE HUMBOLDT
037,7,MESONES HIDALGO
038,7,VILLA HIDALGO
039,4,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN
040,1,HUAUTEPEC
041,1,HUAUTLA DE JIMÉNEZ
042,6,IXTLÁN DE JUÁREZ
043,3,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA
044,5,LOMA BONITA
045,8,MAGDALENA APASCO
046,4,MAGDALENA JALTEPEC
047,4,SANTA MAGDALENA JICOTLÁN
048,8,MAGDALENA MIXTEPEC
049,8,MAGDALENA OCOTLÁN
050,4,MAGDALENA PEÑASCO
051,8,MAGDALENA TEITIPAC
052,3,MAGDALENA TEQUISISTLÁN
053,3,MAGDALENA TLACOTEPEC
054,4,MAGDALENA ZAHUATLÁN
055,4,MARISCALA DE JUÁREZ
056,2,MÁRTIRES DE TACUBAYA
057,3,MATÍAS ROMERO AVENDAÑO
058,1,MAZATLÁN VILLA DE FLORES
059,7,MIAHUATLÁN DE PORfIRIO DÍAZ
060,6,MIXISTLÁN DE LA REfORMA
061,7,MONJAS
062,6,NATIVIDAD
063,8,NAZARENO ETLA
064,7,NEJAPA DE MADERO
065,4,IXPANTEPEC NIEVES
066,3,SANTIAGO NILTEPEC
067,8,OAXACA DE JUÁREZ
068,8,OCOTLÁN DE MORELOS
069,8,LA PE
070,2,PINOTEPA DE DON LUIS
071,2,PLUMA HIDALGO
072,8,SAN JOSÉ DEL PROGRESO
073,7,PUTLA VILLA DE GUERRERO
074,7,SANTA CATARINA QUIOQUITANI
075,3,REfORMA DE PINEDA
076,7,LA REfORMA
077,8,REYES ETLA
078,8,ROJAS DE CUAUHTÉMOC
079,3,SALINA CRUZ
080,8,SAN AGUSTÍN AMATENGO
081,4,SAN AGUSTÍN ATENANGO
082,2,SAN AGUSTÍN CHAYUCO
083,8,SAN AGUSTÍN DE LAS JUNTAS
084,8,SAN AGUSTÍN ETLA
085,2,SAN AGUSTÍN LOXICHA
086,4,SAN AGUSTÍN TLACOTEPEC
087,8,SAN AGUSTÍN YATARENI
088,7,SAN ANDRÉS CABECERA NUEVA
089,4,SAN ANDRÉS DINICUITI
090,2,SAN ANDRÉS HUAXPALTEPEC
091,8,SAN ANDRÉS HUAYÁPAM
092,8,SAN ANDRÉS IXTLAHUACA
093,4,SAN ANDRÉS LAGUNAS
094,4,SAN ANDRÉS NUXIÑO
095,7,SAN ANDRÉS PAXTLÁN
096,4,SAN ANDRÉS SINAXTLA
097,7,SAN ANDRÉS SOLAGA
098,1,SAN ANDRÉS TEOTILÁLPAM
099,4,SAN ANDRÉS TEPETLAPA
100,7,SAN ANDRÉS YAÁ
101,8,SAN ANDRÉS ZABACHE
102,8,SAN ANDRÉS ZAUTLA
103,8,SAN ANTONINO CASTILLO VELASCO
104,8,SAN ANTONINO EL ALTO
105,4,SAN ANTONINO MONTE VERDE
106,4,SAN ANTONIO ACUTLA
107,8,SAN ANTONIO DE LA CAL
108,8,SAN ANTONIO HUITEPEC
109,1,SAN ANTONIO NANAHUATÍPAM
110,4,SAN ANTONIO SINICAHUA
111,2,SAN ANTONIO TEPETLAPA
112,8,SAN BALTAZAR CHICHICÁPAM
113,2,SAN BALTAZAR LOXICHA
114,7,SAN BALTAZAR YATZACHI EL BAJO
115,8,SAN BARTOLO COYOTEPEC
116,1,SAN BARTOLOMÉ AYAUTLA
117,2,SAN BARTOLOMÉ LOXICHA
118,8,SAN BARTOLOMÉ QUIALANA
119,4,SAN BARTOLOMÉ YUCUAÑE
120,7,SAN BARTOLOMÉ ZOOGOCHO
121,4,SAN BARTOLO SOYALTEPEC
122,7,SAN BARTOLO YAUTEPEC
123,8,SAN BERNARDO MIXTEPEC
124,3,SAN BLAS ATEMPA
125,7,SAN CARLOS YAUTEPEC
126,7,SAN CRISTÓBAL AMATLÁN
127,4,SAN CRISTÓBAL AMOLTEPEC
128,7,SAN CRISTÓBAL LACHIRIOAG
129,4,SAN CRISTÓBAL SUCHIXTLAHUACA
130,3,SAN DIONISIO DEL MAR
131,8,SAN DIONISIO OCOTEPEC
132,8,SAN DIONISIO OCOTLÁN
133,4,SAN ESTEBAN ATATLAHUCA
134,5,SAN FELIPE JALAPA DE DÍAZ
135,8,SAN FELIPE TEJALÁPAM
136,5,SAN FELIPE USILA
137,7,SAN FRANCISCO CAHUACUÁ
138,7,SAN FRANCISCO CAJONOS
139,1,SAN FRANCISCO CHAPULAPA
140,4,SAN FRANCISCO CHINDÚA
141,3,SAN FRANCISCO DEL MAR
142,1,SAN FRANCISCO HUEHUETLÁN
143,3,SAN FRANCISCO IXHUATÁN
144,4,SAN FRANCISCO JALTEPETONGO
145,8,SAN FRANCISCO LACHIGOLÓ
146,7,SAN FRANCISCO LOGUECHE
147,4,SAN FRANCISCO NUXAÑO
148,7,SAN FRANCISCO OZOLOTEPEC
149,7,SAN FRANCISCO SOLA
150,8,SAN FRANCISCO TELIXTLAHUACA
151,4,SAN FRANCISCO TEOPAN
152,4,SAN FRANCISCO TLAPANCINGO
153,2,SAN GABRIEL MIXTEPEC
154,7,SAN ILDEfONSO AMATLÁN
155,7,SAN ILDEfONSO SOLA
156,7,SAN ILDEfONSO VILLA ALTA
157,8,SAN JACINTO AMILPAS
158,7,SAN JACINTO TLACOTEPEC
159,7,SAN JERÓNIMO COATLÁN
160,4,SAN JERÓNIMO SILACAYOAPILLA
161,8,SAN JERÓNIMO SOSOLA
162,8,SAN JERÓNIMO TAVICHE
163,1,SAN JERÓNIMO TECÓATL
164,4,SAN JORGE NUCHITA
165,4,SAN JOSÉ AYUQUILA
166,5,SAN JOSÉ CHILTEPEC
167,7,SAN JOSÉ DEL PEÑASCO
168,2,SAN JOSÉ ESTANCIA GRANDE
169,5,SAN JOSÉ INDEPENDENCIA
170,7,SAN JOSÉ LACHIGUIRI
171,1,SAN JOSÉ TENANGO
172,4,SAN JUAN ACHIUTLA
173,6,SAN JUAN ATEPEC
174,8,ÁNIMAS TRUJANO
175,8,SAN JUAN BAUTISTA ATATLAHUCA
176,4,SAN JUAN BAUTISTA COIXTLAHUACA
177,1,SAN JUAN BAUTISTA CUICATLÁN
178,8,SAN JUAN BAUTISTA GUELACHE
179,8,SAN JUAN BAUTISTA JAYACATLÁN
180,2,SAN JUAN BAUTISTA LO DE SOTO
181,4,SAN JUAN BAUTISTA SUCHITEPEC
182,1,SAN JUAN BAUTISTA TLACOATZINTEPEC
183,4,SAN JUAN BAUTISTA TLACHICHILCO
184,5,SAN JUAN BAUTISTA TUXTEPEC
185,2,SAN JUAN CACAHUATEPEC
186,4,SAN JUAN CIENEGUILLA
187,1,SAN JUAN COATZÓSPAM
188,2,SAN JUAN COLORADO
189,5,SAN JUAN COMALTEPEC
190,6,SAN JUAN COTZOCÓN
191,6,SAN JUAN CHICOMEZÚCHIL
192,8,SAN JUAN CHILATECA
193,8,SAN JUAN DEL ESTADO
194,8,SAN JUAN DEL RÍO
195,4,SAN JUAN DIUXI
196,6,SAN JUAN EVANGELISTA ANALCO
197,8,SAN JUAN GUELAVÍA
198,3,SAN JUAN GUICHICOVI
199,4,SAN JUAN IHUALTEPEC
200,7,SAN JUAN JUQUILA MIXES
201,7,SAN JUAN JUQUILA VIJANOS
202,2,SAN JUAN LACHAO
